Activity,Actividad,
Activity Schedule,Cronograma de Actividades,
Actual Advancement %,% de Avance Real,
Advancement %,% de Avance,
Advancement % cannot be negative.,El % de Avance no puede ser negativo.,
Advancement % cannot exceed 100.,El % de Avance no puede exceder 100.,
Advancement cannot go backwards. Current {0}% is less than previous {1}%.,El avance no puede retroceder. El actual {0}% es menor que el anterior {1}%.,
Advancement Type,Tipo de Avance,
Amount,Monto,
Amount Field is required,El campo Monto es requerido,
Amount must be greater than zero,El monto debe ser mayor a cero,
Amount must be greater than zero.,El monto debe ser mayor a cero.,
Approval Date,Fecha de Aprobación,
Asset,Activo,
Asset Category,Categoría de Activo,
Asset Name,Nombre del Activo,
At least one Budget Level row is required.,Se requiere al menos una fila de Nivel de Presupuesto.,
At least one Distribution Item is required.,Se requiere al menos un Elemento de Distribución.,
Auto JE Rule Skipped,Regla de Asiento Automático Omitida,
Auto Reminder - {0},Recordatorio Automático - {0},
Account {0} not found for company {1},Cuenta {0} no encontrada para la empresa {1},
Bank Account {0} does not have a linked GL account,La Cuenta Bancaria {0} no tiene una cuenta contable vinculada,
Bank Account is required to create a payment,Se requiere una Cuenta Bancaria para crear un pago,
Bank Account is required to submit,Se requiere una Cuenta Bancaria para enviar,
Bank Account is required to submit a Deposit Entry,Se requiere una Cuenta Bancaria para enviar un Registro de Depósito,
Beneficiary is required,Se requiere un beneficiario,
Billing %,% de Facturación,
Both ratio_name and period are required,Se requieren tanto el nombre de la razón como el período,
Budget,Presupuesto,
Budget Consumed %,% de Presupuesto Consumido,
Budget Level Code,Código de Nivel de Presupuesto,
Budget Level with code '{0}' not found for modification.,Nivel de Presupuesto con código '{0}' no encontrado para modificación.,
Budget Level with code '{0}' not found for removal.,Nivel de Presupuesto con código '{0}' no encontrado para eliminación.,
Cancel reason is required to cancel a Check Request,Se requiere un motivo de cancelación para cancelar una Solicitud de Cheque,
Center Line must be between Lower and Upper Control Limits.,La Línea Central debe estar entre los Límites de Control Inferior y Superior.,
Change Amount,Monto del Cambio,
Change Order,Orden de Cambio,
Change Order Title,Título de Orden de Cambio,
Change Type,Tipo de Cambio,
Circular dependency detected in Activity Schedule for project {0}.,Dependencia circular detectada en el Cronograma de Actividades del proyecto {0}.,
Collection Document name is required,Se requiere el nombre del Documento de Cobro,
Company,Empresa,
Construction Budget is required to apply changes.,Se requiere un Presupuesto de Construcción para aplicar los cambios.,
Contractor,Contratista,
Contractor Name,Nombre del Contratista,
Contract Title,Título del Contrato,
Corrective Action {0} created for out-of-control chart.,Acción Correctiva {0} creada para gráfico fuera de control.,
Cost Rate,Tasa de Costo,
Cost Type,Tipo de Costo,
CPI,IPC,
CPI Status,Estado del IPC,
Credit Account is required,Se requiere una Cuenta de Crédito,
Crew Code,Código de Cuadrilla,
Customer,Cliente,
Customer is required,Se requiere un cliente,
Customer is required to apply collection,Se requiere un cliente para aplicar el cobro,
Date Range Start must be before Date Range End.,La Fecha de Inicio del Rango debe ser anterior a la Fecha de Fin del Rango.,
Debit Account is required,Se requiere una Cuenta de Débito,
Default Payable Account is not configured for company {0},La Cuenta por Pagar por Defecto no está configurada para la empresa {0},
Default Payable Account not configured for company {0},Cuenta por Pagar por Defecto no configurada para la empresa {0},
Default Receivable Account not configured for company {0},Cuenta por Cobrar por Defecto no configurada para la empresa {0},
Deposit Date is required,Se requiere la Fecha de Depósito,
Deposit Entry {0},Registro de Depósito {0},
Detection,Detección,
Distribution,Distribución,
Distribution percentages must sum to 100%. Currently: {0}%,Los porcentajes de distribución deben sumar 100%. Actualmente: {0}%,
Downtime Cost,Costo de Tiempo de Inactividad,
Duration (Days),Duración (Días),
Employee,Empleado,
Employee is required.,Se requiere un empleado.,
Employee Loan {0} created.,Préstamo de Empleado {0} creado.,
Employee Name,Nombre del Empleado,
End Date,Fecha de Fin,
End Date cannot be before Start Date.,La Fecha de Fin no puede ser anterior a la Fecha de Inicio.,
Error evaluating formula: {0},Error al evaluar la fórmula: {0},
Error evaluating formula: {0}. Expanded formula: {1},Error al evaluar la fórmula: {0}. Fórmula expandida: {1},
Estimated Total,Total Estimado,
Evidence document is required for Compliant status.,Se requiere un documento de evidencia para el estado Conforme.,
Expected Date,Fecha Esperada,
Exported {0} records.,{0} registros exportados.,
Failure Mode,Modo de Falla,
Flag,Bandera,
"Formula is empty, cannot compute ratio","La fórmula está vacía, no se puede calcular la razón",
Formula is required for {0} type Insumos.,Se requiere una fórmula para Insumos de tipo {0}.,
Formula is required for a Financial Ratio,Se requiere una fórmula para una Razón Financiera,
Formula is required for Calculated Insumo.,Se requiere una fórmula para Insumo Calculado.,
Formula is required for Compound Insumo.,Se requiere una fórmula para Insumo Compuesto.,
Formula must contain at least one {Account Name} reference,La fórmula debe contener al menos una referencia {Account Name},
Hours,Horas,
Hours Used,Horas Utilizadas,
Incident Count,Cantidad de Incidentes,
Installment Amount must be greater than zero.,El Monto de la Cuota debe ser mayor a cero.,
Insumo '{0}' not found.,Insumo '{0}' no encontrado.,
Invalid compound formula segment '{0}'. Expected 'Name:qty'.,Segmento de fórmula compuesta inválido '{0}'. Se esperaba 'Nombre:cant'.,
"Invalid period format: {0}. Use YYYY-MM, YYYY-Q1..Q4, or YYYY","Formato de período inválido: {0}. Use AAAA-MM, AAAA-Q1..Q4, o AAAA",
Invalid status {0}. Must be one of: {1},Estado inválido {0}. Debe ser uno de: {1},
Invalid status transition from {0} to {1},Transición de estado inválida de {0} a {1},
Invoiced Amount,Monto Facturado,
Item Code,Código de Artículo,
Item Name,Nombre del Artículo,
Labor cost from Salary Slip {0} for {1},Costo de mano de obra del Recibo de Salario {0} para {1},
Level Code,Código de Nivel,
Level Name,Nombre de Nivel,
Level Type,Tipo de Nivel,
Loan Amount must be greater than zero.,El Monto del Préstamo debe ser mayor a cero.,
Lower Control Limit must be less than Upper Control Limit.,El Límite de Control Inferior debe ser menor que el Límite de Control Superior.,
Maintenance Email Failed,Fallo en Correo de Mantenimiento,
Negotiated Amount,Monto Negociado,
New Amount,Nuevo Monto,
No active Employee Loan found for {0}.,No se encontró un Préstamo de Empleado activo para {0}.,
No default bank or cash account configured for company {0},No hay cuenta bancaria o de caja por defecto configurada para la empresa {0},
No email address found for customer {0} (Invoice {1}),No se encontró dirección de correo electrónico para el cliente {0} (Factura {1}),
No remaining amount to apply,No hay monto restante para aplicar,
No salary component mapping for movement type {0}.,No hay mapeo de componente salarial para el tipo de movimiento {0}.,
Occurrence,Ocurrencia,
% of Total,% del Total,
Ordered Qty,Cantidad Ordenada,
Original Amount,Monto Original,
Overdue Maintenance: {0} for {1},Mantenimiento Vencido: {0} para {1},
Paid Amount,Monto Pagado,
Parts Cost,Costo de Repuestos,
Payment Reminder: Invoice {0},Recordatorio de Pago: Factura {0},
Payment Reminder - No Email,Recordatorio de Pago - Sin Correo Electrónico,
Payment Reminder Template Error,Error de Plantilla de Recordatorio de Pago,
Pending Qty,Cantidad Pendiente,
Period Date,Fecha del Período,
Period End cannot be before Period Start.,El Fin del Período no puede ser anterior al Inicio del Período.,
Period Type,Tipo de Período,
Planned %,% Planificado,
Planned End,Fin Planificado,
Planned Start,Inicio Planificado,
Please set a Default Income Account in company {0} settings.,Por favor configure una Cuenta de Ingreso por Defecto en la configuración de la empresa {0}.,
Posting Date,Fecha de Contabilización,
Project,Proyecto,
Project Revenue,Ingreso del Proyecto,
Purchase Invoice is required,Se requiere una Factura de Compra,
Qty,Cant.,
Rate,Tasa,
Real Total,Total Real,
Received Qty,Cantidad Recibida,
Recommended Action,Acción Recomendada,
Remaining Amount,Monto Restante,
Request Date,Fecha de Solicitud,
Requested By,Solicitado Por,
Requested Qty,Cantidad Solicitada,
Revenue Name,Nombre del Ingreso,
Revenue Type,Tipo de Ingreso,
Routine marked as performed. Next due: {0},Rutina marcada como realizada. Próximo vencimiento: {0},
RPN Score,Puntuación RPN,
Rule {0}: amount field '{1}' is zero or negative on {2} {3},Regla {0}: el campo de monto '{1}' es cero o negativo en {2} {3},
Rule {0}: no company found on rule or document {1} {2},Regla {0}: no se encontró empresa en la regla o documento {1} {2},
Sales Invoice {0} has no outstanding amount,La Factura de Venta {0} no tiene saldo pendiente,
Sales Invoice is required to apply collection,Se requiere una Factura de Venta para aplicar el cobro,
Severity,Severidad,
SPC Out of Control: {0},SPC Fuera de Control: {0},
SPI,IRP,
SPI Status,Estado del IRP,
Start Date,Fecha de Inicio,
Status,Estado,
Subcontract,Subcontrato,
Supplier is required,Se requiere un proveedor,
Task,Tarea,
Tax Withholding ({0}%),Retención de Impuestos ({0}%),
Total Amount,Monto Total,
Total Cost,Costo Total,
Total Cost Impact,Impacto Total de Costo,
Total Deducted ({0}) cannot exceed Loan Amount ({1}).,El Total Deducido ({0}) no puede exceder el Monto del Préstamo ({1}).,
Total Deducted cannot be negative.,El Total Deducido no puede ser negativo.,
Total deposit amount must be greater than zero,El monto total del depósito debe ser mayor a cero,
Total Duration (Hours),Duración Total (Horas),
Total Estimated,Total Estimado,
Total Real Cost,Costo Real Total,
Trigger DocType is required,Se requiere el DocType de Activación,
Trigger Event is required,Se requiere el Evento de Activación,
Unknown Insumo type: {0},Tipo de Insumo desconocido: {0},
Unknown relationship type '{0}'.,Tipo de relación desconocido '{0}'.,
UOM,UDM,
Usage Date,Fecha de Uso,
Variance %,% de Variación,
Variance,Variación,
Auto-created: authorization required before invoice submission,Auto-creado: se requiere autorización antes de la presentación de la factura,
Purchase Invoice {0} requires authorization before submission. An Invoice Authorization request ({1}) has been created. Please get it authorized and then re-submit.,La Factura de Compra {0} requiere autorización antes de su presentación. Se ha creado una solicitud de Autorización de Factura ({1}). Por favor obtenga la autorización y vuelva a enviar.,
"Dear {0},<br><br>This is a reminder that Invoice <b>{1}</b> with an outstanding amount of <b>{2}</b> was due on <b>{3}</b>.<br><br>Please arrange payment at your earliest convenience.<br><br>Thank you.","Estimado/a {0},<br><br>Le recordamos que la Factura <b>{1}</b> con un saldo pendiente de <b>{2}</b> venció el <b>{3}</b>.<br><br>Por favor gestione el pago a la brevedad posible.<br><br>Gracias.",
"Dear {0},<br><br>This is a friendly reminder that Invoice <b>{1}</b> with an amount of <b>{2}</b> is due on <b>{3}</b>.<br><br>Thank you.","Estimado/a {0},<br><br>Le recordamos amablemente que la Factura <b>{1}</b> por un monto de <b>{2}</b> vence el <b>{3}</b>.<br><br>Gracias.",
Withholding Tax Payable account not found for company {0}. Please create an account named 'Withholding Tax Payable' or set the withholding_tax_account field on the Company record.,Cuenta de Retención de Impuestos por Pagar no encontrada para la empresa {0}. Por favor cree una cuenta llamada 'Retención de Impuestos por Pagar' o configure el campo withholding_tax_account en el registro de la Empresa.,
ISR Withholding 10%,Retención ISR 10%,
IVA Retention 1%,Retención IVA 1%,
IVA 13%,IVA 13%,
IVA Compras 13%,IVA Compras 13%,
IVA Compras 13% - {0},IVA Compras 13% - {0},
IVA Crédito Fiscal,IVA Crédito Fiscal,
IVA Débito Fiscal,IVA Débito Fiscal,
IVA Ventas 13%,IVA Ventas 13%,
IVA Ventas 13% - {0},IVA Ventas 13% - {0},
Retención ISR,Retención ISR,
Retención IVA 1%,Retención IVA 1%,
ISSS Employee Contribution 3%,Contribución ISSS del Empleado 3%,
ISSS Employer Contribution 7.5%,Contribución ISSS Patronal 7.5%,
AFP Employee Contribution 7.25%,Contribución AFP del Empleado 7.25%,
AFP Employer Contribution 8.75%,Contribución AFP Patronal 8.75%,
Christmas Bonus - Aguinaldo,Bono Navideño - Aguinaldo,
Income Tax Withholding,Retención del Impuesto sobre la Renta,
El Salvador payroll components created for {0},Componentes de nómina de El Salvador creados para {0},
El Salvador Payroll Setup Error,Error en Configuración de Nómina de El Salvador,
El Salvador tax accounts and templates have been created for {0}.,Las cuentas y plantillas de impuestos de El Salvador han sido creadas para {0}.,
El Salvador Tax Setup Error,Error en Configuración de Impuestos de El Salvador,
El Salvador vacation rules applied: 15 days after 1 year with 30% bonus.,Reglas de vacaciones de El Salvador aplicadas: 15 días después de 1 año con 30% de bonificación.,
My Projects,Mis Proyectos,Portal Menu
Invoices,Facturas,Portal Menu
Documents,Documentos,Portal Menu
Authorize Advancement,Autorizar Avance,Portal Menu
Payment History,Historial de Pagos,Portal Menu
Progress,Progreso,Portal Page
Actual,Real,Portal Page
Actual Cost,Costo Real,Portal Page
Expected End,Fecha de Finalización Esperada,Portal Page
Tasks,Tareas,Portal Page
Due Date,Fecha de Vencimiento,Portal Page
Recent Advancements,Avances Recientes,Portal Page
Type,Tipo,Portal Page
Advancement,Avance,Portal Page
My Invoices,Mis Facturas,Portal Page
Invoice,Factura,Portal Page
Outstanding,Pendiente,Portal Page
Paid,Pagado,Portal Page
Partial,Parcial,Portal Page
Unpaid,Sin Pagar,Portal Page
No invoices found.,No se encontraron facturas.,Portal Page
No projects found.,No se encontraron proyectos.,Portal Page
Access your project documents contracts and reports.,Acceda a los documentos contratos e informes de sus proyectos.,Portal Page
Download,Descargar,Portal Page
No documents available.,No hay documentos disponibles.,Portal Page
Review and authorize project advancement reports.,Revise y autorice los informes de avance del proyecto.,Portal Page
Action,Acción,Portal Page
Review,Revisar,Portal Page
No pending advancements to authorize.,No hay avances pendientes por autorizar.,Portal Page
Advancement Review,Revisión de Avance,Portal Page
Remarks,Observaciones,Portal Page
None,Ninguna,Portal Page
Authorized Advancement %,% de Avance Autorizado,Portal Page
Comments,Comentarios,Portal Page
Authorize,Autorizar,Portal Page
Cancel,Cancelar,Portal Page
Payment,Pago,Portal Page
Mode,Modo,Portal Page
Reference,Referencia,Portal Page
No payments found.,No se encontraron pagos.,Portal Page
Date,Fecha,
Components,Componentes,
Construction Budget,Presupuesto de Construcción,
Cost Distribution,Distribución de Costos,
Cost Entries,Registros de Costos,
Create,Crear,
Distribute Costs,Distribuir Costos,
Downtime Records,Registros de Tiempo de Inactividad,
Equipment Usage,Uso de Equipo,
Failure Analysis,Análisis de Fallas,
From Date,Desde Fecha,
Labor Hours,Horas de Trabajo,
Maintenance Routines,Rutinas de Mantenimiento,
Minimum RPN Score,Puntuación RPN Mínima,
New Budget,Nuevo Presupuesto,
Physical Advancement,Avance Físico,
Record Advancement,Registrar Avance,
Request Authorization,Solicitar Autorización,
Request Check,Solicitar Cheque,
Subcontracts,Subcontratos,
To Date,Hasta Fecha,
Variance Threshold (%),Umbral de Variación (%),
View,Ver,
View Check Request,Ver Solicitud de Cheque,
